-238, -1088, 697
-209, -1011, 685
-254, -1040, 599
-284, -1031, 598
-275, -964, 614
-338, -991, 545
-325, -920, 511
-229, -770, 478
-169, -679, 337
-160, -670, 247
-160, -670, 247
-125, -606, 193
-16, -464, 209
52, -390, 127
66, -383, 92
108, -362, 126
184, -334, 59
192, -380, -12
192, -380, -12
169, -440, 9
157, -519, 112
186, -511, 132
238, -442, 93
304, -365, 77
304, -365, 77
390, -319, 25
374, -389, 56
312, -478, 171
317, -497, 277
367, -492, 359
414, -469, 281
414, -469, 281
379, -565, 200
294, -711, 311
274, -803, 480
350, -759, 511
339, -790, 648
429, -753, 766
332, -912, 713
332, -912, 713
281, -982, 609
339, -938, 722
393, -831, 858
371, -791, 811
359, -778, 755
429, -795, 776
399, -891, 798
-,-,-
-13, -903, 603
-93, -1018, 580
-91, -1068, 553
-97, -1080, 637
-129, -1101, 726
-189, -1225, 625
-201, -1250, 630
-190, -1221, 708
-199, -1203, 732
-241, -1228, 717
-237, -1214, 755
-264, -1204, 840
-345, -1218, 861
-384, -1191, 786
-357, -1132, 745
-338, -1049, 716
-338, -988, 635
-301, -921, 556
-270, -860, 486
-291, -858, 403
-291, -858, 403
-309, -830, 401
-303, -775, 401
-254, -715, 268
-162, -596, 209
-147, -587, 170
-189, -669, 75
-216, -712, 93
-157, -603, 210
-40, -465, 149
13, -417, 19
13, -417, 19
-16, -512, -10
-48, -596, -22
-20, -583, -15
49, -526, -20
116, -469, -15
116, -469, -15
166, -475, 15
180, -521, 18
201, -538, 48
235, -521, 90
223, -546, 149
245, -536, 190
245, -536, 190
354, -479, 210
397, -438, 210
437, -389, 212
495, -358, 225
488, -437, 317
367, -606, 451
312, -692, 565
312, -692, 565
397, -636, 545
411, -709, 700
494, -762, 648
377, -937, 764
375, -947, 971
394, -896, 1043
379, -851, 1037
382, -875, 1005
382, -875, 1005
336, -952, 1013
299, -969, 906
279, -1027, 933
-,-,-
62, -862, 715
119, -934, 693
76, -1017, 571
63, -1057, 633
60, -1121, 700
60, -1121, 700
-35, -1277, 818
-109, -1336, 915
-160, -1372, 930
-272, -1445, 890
-371, -1427, 947
-433, -1338, 948
-448, -1203, 840
-467, -1103, 634
-443, -964, 564
-393, -857, 513
-361, -840, 431
-313, -781, 391
-275, -780, 330
-266, -831, 282
-235, -830, 326
-208, -822, 390
-179, -809, 425
-179, -848, 389
-145, -825, 363
